m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.001,0.8823,0.9588,0.999948,,,,
0.002,0.8394,0.9428,0.999898,,,,
0.003,0.8085,0.9309,0.999849,,,,
0.004,0.7838,0.9211,0.999801,,,,
0.005,0.7629,0.9126,0.999753,,,,
0.006,0.7447,0.9051,0.999707,,,,
0.007,0.7285,0.8983,0.999660,,,,
0.008,0.7139,0.8920,0.999614,,,,
0.009,0.7006,0.8863,0.999569,,,,
0.010,0.6884,0.8809,0.999524,,,,
0.020,0.6002,0.8400,0.999092,,,,
0.030,0.5435,0.8114,0.998685,,,,
0.040,0.5018,0.7889,0.998296,,,,
0.050,0.4689,0.7704,0.997920,,,,
0.060,0.4420,0.7545,0.997556,,,,
0.070,0.4192,0.7405,0.997202,,,,
0.080,0.3996,0.7281,0.996857,,,,
0.090,0.3825,0.7169,0.996519,,,,
0.100,0.3673,0.7068,0.996187,,,,
0.200,0.2729,0.6370,0.993138,,,,
0.300,0.2241,0.5954,0.990393,,,,
0.400,0.1929,0.5664,0.987831,,,,
0.500,0.1709,0.5445,0.985394,,,,
0.600,0.1544,0.5272,0.983050,,,,
0.700,0.1413,0.5130,0.980779,,,,
0.800,0.1308,0.5011,0.978567,,,,
0.900,0.1220,0.4909,0.976405,,,,
1.000,0.1145,0.4820,0.974287,,,,
1.250,0.1000,0.4639,0.969148,,,,
1.500,0.0893,0.4497,0.964198,,,,
1.750,0.0810,0.4381,0.959408,,,,
2.000,0.0744,0.4283,0.954763,,,,
2.250,0.0689,0.4196,0.950252,,,,
2.500,0.0643,0.4119,0.945871,,,,
2.750,0.0603,0.4048,0.941614,,,,
3.000,0.0569,0.3982,0.937481,,,,
3.107,0.0555,0.3955,0.935749,,,,
,,,,,,,
m (mol/kg),gamma,Osmotic Guanidinium carbonate,a_water,,,,
0.001,0.8837,0.9596,0.999948,,,,
0.002,0.8420,0.9443,0.999898,,,,
0.003,0.8122,0.9331,0.999849,,,,
0.004,0.7885,0.9240,0.999800,,,,
0.005,0.7685,0.9162,0.999752,,,,
0.006,0.7512,0.9093,0.999705,,,,
