electrolyte,electrolyte_type,B_MX_0_simplified,B_MX_1_simplified,std_dev_simplified,ref_simplified,max_molality_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type
AgNO3,1-1,-0.0576,-0.1489,0.010,28,5.00,-0.0856,0.0025,0.00,0.0059,0.001,9,6.00,1.15,1.79,c,c
CsBr,1-1,0.0276,0.0195,0.003,28,5.00,0.0279,0.0139,0.00,0.0000,0.002,9,5.00,1.7,1.96,c,c
CsCl,1-1,0.0307,0.0717,0.004,28,8.50,0.0300,0.0558,0.00,0.0004,0.002,9,5.00,1.7,1.81,c,c
CsF,1-1,0.1138,0.3346,0.004,28,3.50,0.1306,0.2570,0.00,-0.0043,0.002,9,3.50,1.7,1.33,c,k
CsI,1-1,0.0121,0.1124,0.002,28,3.00,0.0244,0.0262,0.00,-0.0037,0.001,9,3.00,1.7,2.2,c,c
CsNO2,1-1,0.0203,0.1518,0.006,39,5.00,0.0427,0.0600,0.00,-0.0051,0.004,9,6.00,1.7,1.92,c,c
CsNO3,1-1,-0.0741,-0.0794,0.003,28,1.50,-0.0758,-0.0669,0.00,0.0000,0.002,9,1.40,1.7,1.79,c,c
CsOH,1-1,0.1313,0.4219,0.001,28,1.20,0.1500,0.3000,0.00,0.0000,,9,1.20,1.7,1.33,c,k
HBr,1-1,0.2180,0.2692,0.004,28,3.00,0.1960,0.3564,0.00,0.0083,,9,3.00,0.3,1.96,k,c
HCl,1-1,0.1788,0.2936,0.006,28,8.00,0.1775,0.2945,0.00,0.0008,,9,6.00,0.3,1.81,k,c
HClO4,1-1,0.2133,0.0306,0.017,28,5.50,0.1747,0.2931,0.00,0.0082,0.002,9,5.50,0.3,2.25,k,c
HI,1-1,0.2373,0.4291,0.004,28,4.00,0.2362,0.3920,0.00,0.0011,,9,3.00,0.3,2.2,k,c
HNO3,1-1,0.0995,0.4008,0.006,28,3.50,0.1119,0.3206,0.00,0.0010,0.001,9,3.00,0.3,1.79,k,c
KBr,1-1,0.0485,0.2805,0.003,28,5.50,0.0569,0.2212,0.00,-0.0018,0.001,9,5.50,1.38,1.96,c,c
KBrO3,1-1,-0.1221,0.2435,0.002,28,0.50,-0.1290,0.2565,0.00,0.0000,0.001,9,0.50,1.38,1.91,c,c
KCl,1-1,0.0451,0.2268,0.001,28,4.84,0.0484,0.2122,0.00,-0.0008,0.0005,9,4.80,1.38,1.81,c,c
KClO3,1-1,-0.0946,0.2485,0.0003,28,0.70,-0.0960,0.2481,0.00,0.0000,0.001,9,0.70,1.38,2,c,c
KF,1-1,0.0842,0.2052,0.014,28,14.00,0.0809,0.2021,0.00,0.0009,0.001,9,2.00,1.38,1.33,c,k
KH2PO4,1-1,-0.0685,-0.1035,0.003,28,1.80,-0.0678,-0.1042,0.00,0.0000,0.003,9,1.80,1.38,2.38,c,c
KHCO3,1-1,-0.0188,0.0730,0.001,16,1.00,-0.0220,0.0900,0.00,0.0000,,16,1.00,1.38,1.85,c,c
KI,1-1,0.0573,0.3689,0.005,28,4.50,0.0746,0.2517,0.00,-0.0041,0.005,9,4.50,1.38,2.2,c,c
KNO2,1-1,0.0087,0.0967,0.003,39,6.00,0.0151,0.0150,0.00,0.0007,0.003,9,5.00,1.38,1.92,c,c
KNO3,1-1,-0.0592,-0.0451,0.006,28,3.50,-0.0816,0.0494,0.00,0.0066,0.006,9,3.50,1.38,1.79,c,c
KOH,1-1,0.1457,0.1971,0.025,28,14.00,0.1298,0.3200,0.00,0.0041,,9,5.50,1.38,1.33,c,k
KSCN,1-1,0.0303,0.3086,0.003,28,5.00,0.0416,0.2302,0.00,-0.0025,0.001,9,5.00,1.38,2.13,c,c
LiBr,1-1,0.1998,0.2022,0.018,28,7.00,0.1748,0.2547,0.00,0.0053,0.002,9,2.50,0.69,1.96,k,c
LiBrO3,1-1,0.0882,0.2541,0.002,20,5.00,0.0893,0.2157,0.00,0.0000,0.001,10,5.00,0.69,1.91,k,c
LiCl,1-1,0.1667,0.2465,0.032,28,13.00,0.1494,0.3074,0.00,0.0036,0.001,9,6.00,0.69,1.81,k,c
LiClO3,1-1,0.1526,0.3131,0.008,20,4.20,0.1705,0.2294,0.00,-0.00524,0.002,10,4.20,0.69,2,k,c
LiClO4,1-1,0.1950,0.4307,0.007,28,4.50,0.1973,0.3996,0.00,0.0008,0.002,9,3.50,0.69,2.25,k,c
LiI,1-1,0.1990,0.4795,0.013,28,3.00,0.2104,0.3730,0.00,0.0000,0.006,9,1.40,0.69,2.2,k,c
LiNO2,1-1,0.1075,0.3906,0.017,39,6.00,0.1336,0.3250,0.00,-0.0053,0.003,9,6.00,0.69,1.92,k,c
LiNO3,1-1,0.1153,0.4488,0.011,28,5.50,0.1420,0.2780,0.00,-0.0055,0.001,9,6.00,0.69,1.79,k,c
LiOH,1-1,0.0457,-0.1257,0.005,28,3.00,0.0150,0.1400,0.00,0.0000,,9,4.00,0.69,1.33,k,k
NaBr,1-1,0.1005,0.2720,0.010,28,9.00,0.0973,0.2791,0.00,0.0012,0.001,9,4.00,1.02,1.96,c,c
NaBrO3,1-1,-0.0046,0.1201,0.006,28,2.50,-0.0205,0.1910,0.00,0.0059,0.001,9,2.50,1.02,1.91,c,c
NaCl,1-1,0.0798,0.2677,0.008,28,6.14,0.0765,0.2664,0.00,0.0013,0.001,9,6.00,1.02,1.81,c,c
NaClO3,1-1,0.0257,0.2373,0.002,28,3.50,0.0249,0.2455,0.00,0.0004,0.001,9,3.50,1.02,2,c,c
NaClO4,1-1,0.0505,0.2952,0.004,28,6.00,0.0554,0.2755,0.00,-0.0012,0.001,9,6.00,1.02,2.25,c,c
NaF,1-1,0.0197,0.2237,0.0004,28,0.983,0.0215,0.2107,0.00,0.0000,0.001,9,1.00,1.02,1.33,c,k
NaH2PO4,1-1,-0.0246,-0.1126,0.009,28,3.50,-0.0533,0.0396,0.00,0.0080,0.003,9,6.00,1.02,2.38,c,c
NaHCO3,1-1,0.0290,0.0380,0.000,34,1.00,0.0277,0.0411,0.00,0.0000,,34,1.00,1.02,1.85,c,c
NaI,1-1,0.1259,0.3038,0.009,28,11.00,0.1195,0.3439,0.00,0.0018,0.001,9,3.50,1.02,2.2,c,c
NaNO2,1-1,0.0478,0.1776,0.003,39,3.00,0.0641,0.1015,0.00,-0.0049,0.005,9,5.00,1.02,1.92,c,c
NaNO3,1-1,0.0036,0.1978,0.001,28,6.00,0.0068,0.1783,0.00,-0.0007,0.001,9,6.00,1.02,1.79,c,c
NaOH,1-1,0.1080,0.1927,0.009,28,6.00,0.0864,0.2530,0.00,0.0044,,-,9,6.00,1.02,1.33,c,k
NaSCN,1-1,0.0952,0.3609,0.004,28,7.00,0.1005,0.3582,0.00,-0.00303,0.001,9,4.00,1.02,2.13,c,c
NH4Br,1-1,0.0505,0.2350,0.001,21,2.50,0.0624,0.1947,0.00,-0.0044,0.001,9,2.50,1.48,1.96,c,c
NH4Cl,1-1,0.0399,0.2661,0.002,28,4.00,0.0522,0.1918,0.00,-0.0030,0.001,9,6.00,1.48,1.81,c,c
NH4ClO4,1-1,-0.0064,-0.0648,0.005,40,2.10,-0.0103,-0.0194,0.00,0.0000,0.004,10,2.00,1.48,2.25,c,c
NH4H2PO4,1-1,-0.0455,-0.5631,0.009,41,3.50,-0.0704,-0.4156,0.00,0.0067,0.003,10,3.50,1.48,2.38,c,c
