electrolyte_name,mol_molar_mass,mol_is_organic,mol_is_acid,mol_ionic_species,mol_solubility,cat_molar_mass,cat_charge,cat_ionic_r,cat_hydration_num,cat_hydration_h,cat_hsab,cat_atomic_num,cat_pt_group,cat_pt_period,cat_is_polyatomic,cat_molar_mass_2,an_charge,an_hydrated_r,an_hsab,beta_0,beta_1
"Sodium Sulfate (Na2SO4),",142.04,0.0,0.0,3.0,19.06,22.99,1,102,4,-406,1.0,11,1,3,0,96.06,-2,0.242,1.0,0.01959,1.049
"Potassium Sulfate (K2SO4),",174.26,0.0,0.0,3.0,11.1,78.2,2,66,9,-1400,1.0,19,1,4,1,96.06,-2,0.242,1.0,0.07424,0.5188
NaF,41.99,0.0,0.0,2.0,4.0,22.99,1,102,4,-406,1.0,11,1,3,0,19.0,-1,0.31000000000000005,1.0,0.02109,0.2183
NaCl,58.44,0.0,0.0,2.0,35.9,22.99,1,102,4,-406,1.0,11,1,3,0,35.45,-1,0.31,1.0,0.07831,0.2677
NaBr,102.89,0.0,0.0,2.0,64.7,22.99,1,102,4,-406,1.0,11,1,3,0,79.9,-1,0.35,0.5,0.1083,0.239
NaI,149.89,0.0,0.0,2.0,184.0,22.99,1,102,4,-406,1.0,11,1,3,0,126.9,-1,0.37,0.0,0.1261,0.317
NaClO4,122.44,0.0,0.0,2.0,20.9,22.99,1,102,4,-406,1.0,11,1,3,0,99.45,-1,0.27,0.0,0.05422,0.2861
NaNO3,84.99,0.0,0.0,2.0,92.1,22.99,1,102,4,-406,1.0,11,1,3,0,62.0,-1,0.27,0.0,0.003614,0.2062
NaAc,82.03,1.0,0.0,2.0,123.0,22.99,1,102,4,-406,1.0,11,1,3,0,59.04,-1,0.31000000000000005,0.0,0.1382,0.3317
KOH,56.11,0.0,0.0,2.0,121.0,39.1,1,138,4,-322,1.0,19,1,4,0,17.01,-1,0.3,1.0,0.1611,0.137
KCl,74.55,0.0,0.0,2.0,34.2,39.1,1,138,4,-322,1.0,19,1,4,0,35.45,-1,0.31,1.0,0.04874,0.2215
KBr,119.0,0.0,0.0,2.0,53.5,39.1,1,138,4,-322,1.0,19,1,4,0,79.9,-1,0.35,0.5,0.05517,0.2361
KAc,98.14,1.0,0.0,2.0,253.0,39.1,1,138,4,-322,1.0,19,1,4,0,59.04,-1,0.31000000000000005,0.0,0.1556,0.3328
RbCl,120.92,0.0,0.0,2.0,77.9,85.468,1,152,6,-296,0.0,37,1,5,0,35.45,-1,0.31,1.0,0.04469,0.1443
RbBr,165.37,0.0,0.0,2.0,94.7,85.468,1,152,6,-296,0.0,37,1,5,0,79.9,-1,0.35,0.5,0.03923,0.1542
RbI,212.37,0.0,0.0,2.0,163.0,85.468,1,152,6,-296,0.0,37,1,5,0,126.9,-1,0.37,0.0,0.03964,0.1484
RbNO3,147.47,0.0,0.0,2.0,92.6,85.468,1,152,6,-296,0.0,37,1,5,0,62.0,-1,0.27,0.0,-0.08139,0.001116
RbAc,128.47,1.0,0.0,2.0,257.0,85.468,1,152,6,-296,0.0,37,1,5,0,59.04,-1,0.31000000000000005,0.0,0.1626,0.3277
CsCl,168.36,0.0,0.0,2.0,186.0,132.905,1,167,6,-264,0.0,55,1,6,0,35.45,-1,0.31,1.0,0.03745,0.02709
CsBr,212.27,0.0,0.0,2.0,95.0,132.905,1,167,6,-264,0.0,55,1,6,0,79.9,-1,0.35,0.5,0.02187,0.07237
CsI,259.81,0.0,0.0,2.0,44.0,132.905,1,167,6,-264,0.0,55,1,6,0,126.9,-1,0.37,0.0,0.02164,0.04627
CsNO3,194.91,0.0,0.0,2.0,161.0,132.905,1,167,6,-264,0.0,55,1,6,0,62.0,-1,0.27,0.0,-0.1024,0.01885
CsAc,191.94,1.0,0.0,2.0,46.6,132.905,1,167,6,-264,0.0,55,1,6,0,59.04,-1,0.31000000000000005,0.0,0.1674,0.3399
TlClO4,287.39,0.0,0.0,2.0,3.0,204.38,1,150,6,-320,0.0,81,13,6,0,99.45,-1,0.27,0.0,-0.09359,0.03334
TlNO3,266.39,0.0,0.0,2.0,56.0,204.38,1,150,6,-320,0.0,81,13,6,0,62.0,-1,0.27,0.0,-0.1307,-0.2724
TlAc,266.43,1.0,0.0,2.0,4.0,204.38,1,150,6,-320,0.0,81,13,6,0,59.04,-1,0.31000000000000005,0.0,0.005551,0.04775
CuSO4,159.61,0.0,0.0,2.0,31.6,63.546,2,73,6,-2099,1.0,29,11,4,0,96.06,-2,0.242,1.0,0.2281,2.505
CdSO4,208.47,0.0,0.0,2.0,76.4,112.41,2,95,6,-1809,0.0,48,12,5,0,96.06,-2,0.242,1.0,0.2072,2.564
HClO4,100.46,0.0,1.0,2.0,100.0,1.008,1,15,3,-1100,1.0,1,1,1,0,99.45,-1,0.27,0.0,0.1813,0.276
AgNO3,169.87,0.0,0.0,2.0,122.0,107.8682,1,129,5,-473,0.0,47,11,5,0,62.0,-1,0.27,0.0,-0.07923,0.008339
"PbClO4,",406.1,0.0,0.0,3.0,8.0,207.2,2,120,6,-1481,0.5,82,14,6,0,99.45,-1,0.27,0.0,0.3328,1.658
"PbNO3,",331.21,0.0,0.0,3.0,52.0,207.2,2,120,6,-1481,0.5,82,14,6,0,62.0,-1,0.27,0.0,-0.0058,-0.1669
"CuCl2,",134.45,0.0,0.0,3.0,75.7,63.546,2,73,6,-2099,1.0,29,11,4,0,70.906,-2,0.31000000000000005,0.0,0.277,1.496
MgCl2,95.21,0.0,0.0,3.0,54.9,24.305,2,86,6,-1926,1.0,12,2,3,0,70.906,-2,0.31000000000000005,0.0,0.3553,1.644
MgBr2,184.11,0.0,0.0,3.0,102.0,24.305,2,86,6,-1926,1.0,12,2,3,0,319.62,-2,0.31000000000000005,0.0,0.4368,1.73
MgI2,278.11,0.0,0.0,3.0,148.0,24.305,2,86,6,-1926,1.0,12,2,3,0,253.8,-2,0.35,0.0,0.4944,1.834
CaCl2,110.98,0.0,0.0,3.0,74.5,40.078,2,100,6,-1650,1.0,20,2,4,0,70.906,-2,0.31000000000000005,0.0,0.31,1.618
CaBr2,199.88,0.0,0.0,3.0,143.0,40.078,2,100,6,-1650,1.0,20,2,4,0,319.62,-2,0.31000000000000005,0.0,0.3409,1.928
CaI2,293.89,0.0,0.0,3.0,209.0,40.078,2,100,6,-1650,1.0,20,2,4,0,253.8,-2,0.35,0.0,0.4301,1.878
SrCl2,158.53,0.0,0.0,3.0,53.8,87.62,2,118,7,-1440,1.0,38,2,5,0,70.906,-2,0.31000000000000005,0.0,0.2841,1.543
SrBr2,247.43,0.0,0.0,3.0,107.0,87.62,2,118,7,-1440,1.0,38,2,5,0,319.62,-2,0.31000000000000005,0.0,0.32,1.846
SrI2,341.43,0.0,0.0,3.0,177.0,87.62,2,118,7,-1440,1.0,38,2,5,0,253.8,-2,0.35,0.0,0.3889,2.001
BaCl2,208.23,0.0,0.0,3.0,37.0,137.33,2,135,8,-1305,1.0,56,2,6,0,70.906,-2,0.31000000000000005,0.0,0.2891,1.217
BaBr2,297.14,0.0,0.0,3.0,101.0,137.33,2,135,8,-1305,1.0,56,2,6,0,319.62,-2,0.31000000000000005,0.0,0.316,1.529
BaI2,391.14,0.0,0.0,3.0,182.0,137.33,2,135,8,-1305,1.0,56,2,6,0,253.8,-2,0.35,0.0,0.4008,1.881
K2CO3,138.21,0.0,0.0,3.0,112.0,78.2,2,66,9,-1400,1.0,19,1,4,1,60.008,-2,0.3,1.0,0.1305,1.606
Na2CO3,105.99,0.0,0.0,3.0,21.5,22.99,1,102,4,-406,1.0,11,1,3,0,60.008,-2,0.3,1.0,0.04625,1.264
CsNO2,178.91,0.0,0.0,2.0,170.0,132.905,1,167,6,-264,0.0,55,1,6,0,46.0055,0,0.33,0.5,0.03058,0.1855
KNO2,85.1,0.0,0.0,2.0,312.0,39.1,1,138,4,-322,1.0,19,1,4,0,46.0055,0,0.33,0.5,0.01526,0.007462
NaNO2,69.0,0.0,0.0,2.0,82.0,22.99,1,102,4,-406,1.0,11,1,3,0,46.0055,0,0.33,0.5,0.05978,0.144
LiNO2,52.95,0.0,0.0,2.0,72.0,6.94,1,76,4,-520,1.0,3,1,2,0,46.0055,0,0.33,0.5,0.1283,0.382
ZnCl2,136.3,0.0,0.0,3.0,408.0,65.38,2,74,6,-2047,1.0,30,12,4,0,70.906,-2,0.31000000000000005,0.0,0.1872,1.766
ZnBr2,225.2,0.0,0.0,3.0,447.0,65.38,2,74,6,-2047,1.0,30,12,4,0,319.62,-2,0.31000000000000005,0.0,0.4122,1.926
ZnI2,319.22,0.0,0.0,3.0,432.0,65.38,2,74,6,-2047,1.0,30,12,4,0,253.8,-2,0.35,0.0,0.526,2.317
CdClO4,311.32,0.0,0.0,3.0,188.0,112.41,2,95,6,-1809,0.0,48,12,5,0,99.45,-1,0.27,0.0,0.3796,2.113
NiCl2,129.6,0.0,0.0,3.0,213.5,58.69,2,69,6,-2100,1.0,28,10,4,0,70.906,-2,0.31000000000000005,0.0,0.3692,1.441
CoCl2,129.84,0.0,0.0,3.0,52.9,58.933,2,74,6,-2010,0.5,27,9,4,0,70.906,-2,0.31000000000000005,0.0,0.3765,1.416
CoBr2,218.74,0.0,0.0,3.0,67.0,58.933,2,74,6,-2010,0.5,27,9,4,0,319.62,-2,0.31000000000000005,0.0,0.4667,1.424
NH4Br,97.94,0.0,0.0,2.0,78.3,14.039,1,148,6,-322,0.5,7,15,2,1,79.9,-1,0.35,0.5,0.05921,0.2153
NH4I,144.94,0.0,0.0,2.0,178.0,14.039,1,148,6,-322,0.5,7,15,2,1,126.9,-1,0.37,0.0,0.05671,0.2893
NH4ClO4,117.49,0.0,0.0,2.0,24.5,14.039,1,148,6,-322,0.5,7,15,2,1,99.45,-1,0.27,0.0,0.005579,-0.1015
NH4NO3,80.04,0.0,0.0,2.0,213.0,14.039,1,148,6,-322,0.5,7,15,2,1,62.0,-1,0.27,0.0,-0.01709,0.09198
TlNO2,250.39,0.0,0.0,2.0,20.0,204.38,1,150,6,-320,0.0,81,13,6,0,46.0055,0,0.33,0.5,-0.6455,-0.1248
RbF,104.47,0.0,0.0,2.0,130.0,85.468,1,152,6,-296,0.0,37,1,5,0,19.0,-1,0.31000000000000005,1.0,0.1171,0.2809
Lithium sulfate,109.94,0.0,0.0,2.0,25.7,6.94,1,76,4,-520,1.0,3,1,2,0,96.06,-2,0.4,16.0,0.1408,1.184
hydrogen chloride,36.46,0.0,1.0,2.0,2000.0,1.008,1,15,3,-1100,1.0,1,1,1,0,35.45,-1,0.31,1.0,0.1876,0.2501
hydrobromic acid,80.91,0.0,1.0,2.0,204.0,1.008,1,15,3,-1100,1.0,1,1,1,0,79.9,-1,0.35,0.5,0.2093,0.3401
hydroiodic acid,127.91,0.0,1.0,2.0,245.0,1.008,1,15,3,-1100,1.0,1,1,1,0,126.9,-1,0.37,0.0,0.2242,0.4685
nitric acid,63.01,0.0,1.0,2.0,2000.0,1.008,1,15,3,-1100,1.0,1,1,1,0,62.0,-1,0.27,0.0,0.111,0.3805
lithium hydroxide,23.95,0.0,0.0,2.0,12.8,6.94,1,76,4,-520,1.0,3,1,2,0,17.01,-1,0.3,1.0,0.04217,-0.08799
lithium chloride,42.39,0.0,0.0,2.0,84.2,6.94,1,76,4,-520,1.0,3,1,2,0,35.45,-1,0.31,1.0,0.1516,0.2975
lithium bromide,86.845,0.0,0.0,2.0,166.7,6.94,1,76,4,-520,1.0,3,1,2,0,79.9,-1,0.35,0.5,0.1842,0.2363
