electrolyte_name,mol_molar_mass,mol_is_organic,mol_is_acid,mol_ionic_species,mol_solubility,cat_molar_mass,cat_charge,cat_valence_e,cat_hydrated_r,cat_ionic_r,cat_hydration_num,cat_hydration_h,cat_hsab,cat_atomic_num,cat_pt_group,cat_pt_period,cat_is_polyatomic,cat_electroneg,cat_ionization_e,cat_molar_mass_2,an_charge,an_valence_e_neutral,an_ionic_r,an_hydration_num,an_hsab,an_is_polyatomic
NaF,41.99,0.0,0.0,2.0,4.0,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,19.0,-1.0,7.0,119.0,4.0,1.0,0.0
NaCl,58.44,0.0,0.0,2.0,35.9,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,35.45,-1.0,7.0,167.0,6.0,1.0,0.0
NaBr,102.89,0.0,0.0,2.0,64.7,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,79.9,-1.0,7.0,196.0,6.0,0.5,0.0
NaI,149.89,0.0,0.0,2.0,184.0,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,126.9,-1.0,7.0,220.0,6.0,0.0,0.0
NaClO4,122.44,0.0,0.0,2.0,20.9,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
NaNO3,84.99,0.0,0.0,2.0,92.1,22.99,1.0,1.0,0.19,102.0,4.0,-406.0,1.0,11.0,1.0,3.0,0.0,0.93,5.139,62.0,-1.0,24.0,130.0,5.0,0.0,1.0
HClO4,100.46,0.0,1.0,2.0,100.0,1.008,1.0,0.0,0.099,15.0,3.0,-1100.0,1.0,1.0,1.0,1.0,0.0,2.2,13.598,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
MgCl2,95.21,0.0,0.0,3.0,54.9,24.305,2.0,2.0,0.21,86.0,6.0,-1926.0,1.0,12.0,2.0,3.0,0.0,1.31,7.646,70.906,-2.0,14.0,189.6341463414634,4.325,0.0,1.0
MgBr2,184.11,0.0,0.0,3.0,102.0,24.305,2.0,2.0,0.21,86.0,6.0,-1926.0,1.0,12.0,2.0,3.0,0.0,1.31,7.646,319.62,-2.0,16.0,196.0,3.0,0.0,1.0
MgI2,278.11,0.0,0.0,3.0,148.0,24.305,2.0,2.0,0.21,86.0,6.0,-1926.0,1.0,12.0,2.0,3.0,0.0,1.31,7.646,253.8,-2.0,16.0,220.0,2.0,0.0,1.0
CaCl2,110.98,0.0,0.0,3.0,74.5,40.078,2.0,2.0,0.412,100.0,6.0,-1650.0,1.0,20.0,2.0,4.0,0.0,1.0,6.11,70.906,-2.0,14.0,189.6341463414634,4.325,0.0,1.0
CaBr2,199.88,0.0,0.0,3.0,143.0,40.078,2.0,2.0,0.412,100.0,6.0,-1650.0,1.0,20.0,2.0,4.0,0.0,1.0,6.11,319.62,-2.0,16.0,196.0,3.0,0.0,1.0
CaI2,293.89,0.0,0.0,3.0,209.0,40.078,2.0,2.0,0.412,100.0,6.0,-1650.0,1.0,20.0,2.0,4.0,0.0,1.0,6.11,253.8,-2.0,16.0,220.0,2.0,0.0,1.0
