electrolyte_name,beta_0,beta_1
"Sodium Sulfate (Na2SO4),",0.01959,1.049
"Potassium Sulfate (K2SO4),",0.07424,0.5188
NaF,0.02109,0.2183
NaCl,0.07831,0.2677
NaBr,0.1083,0.239
NaI,0.1261,0.317
NaClO4,0.05422,0.2861
NaNO3,0.003614,0.2062
NaAc,0.1382,0.3317
KOH,0.1611,0.137
KCl,0.04874,0.2215
KBr,0.05517,0.2361
KAc,0.1556,0.3328
RbCl,0.04469,0.1443
RbBr,0.03923,0.1542
RbI,0.03964,0.1484
RbNO3,-0.08139,0.001116
RbAc,0.1626,0.3277
CsCl,0.03745,0.02709
CsBr,0.02187,0.07237
CsI,0.02164,0.04627
CsNO3,-0.1024,0.01885
CsAc,0.1674,0.3399
TlClO4,-0.09359,0.03334
TlNO3,-0.1307,-0.2724
TlAc,0.005551,0.04775
CuSO4,0.2281,2.505
CdSO4,0.2072,2.564
HClO4,0.1813,0.276
AgNO3,-0.07923,0.008339
"PbClO4,",0.3328,1.658
"PbNO3,",-0.0058,-0.1669
"CuCl2,",0.277,1.496
MgCl2,0.3553,1.644
MgBr2,0.4368,1.73
MgI2,0.4944,1.834
CaCl2,0.31,1.618
CaBr2,0.3409,1.928
CaI2,0.4301,1.878
SrCl2,0.2841,1.543
SrBr2,0.32,1.846
SrI2,0.3889,2.001
BaCl2,0.2891,1.217
BaBr2,0.316,1.529
BaI2,0.4008,1.881
K2CO3,0.1305,1.606
Na2CO3,0.04625,1.264
CsNO2,0.03058,0.1855
KNO2,0.01526,0.007462
NaNO2,0.05978,0.144
LiNO2,0.1283,0.382
ZnCl2,0.1872,1.766
ZnBr2,0.4122,1.926
ZnI2,0.526,2.317
CdClO4,0.3796,2.113
NiCl2,0.3692,1.441
CoCl2,0.3765,1.416
CoBr2,0.4667,1.424
NH4Br,0.05921,0.2153
NH4I,0.05671,0.2893
NH4ClO4,0.005579,-0.1015
NH4NO3,-0.01709,0.09198
TlNO2,-0.6455,-0.1248
RbF,0.1171,0.2809
Lithium sulfate,0.1408,1.184
hydrogen chloride,0.1876,0.2501
hydrobromic acid,0.2093,0.3401
hydroiodic acid,0.2242,0.4685
nitric acid,0.111,0.3805
lithium hydroxide,0.04217,-0.08799
lithium chloride,0.1516,0.2975
lithium bromide,0.1842,0.2363
lithium iodide,0.1903,0.478
lithium perchlorate,0.1966,0.4182
lithium nitrate,0.1343,0.3339
sodium hydroxide,0.09226,0.2424
sodium chlorate,0.0185,0.286
potassium fluoride,0.08286,0.2004
magnesium sulfate,0.2153,3.29
