molecule,cation,anion,anion_1_charge,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_ionic,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_charge,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_ionic,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_formula,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,pitzer_Beta0,pitzer_Beta1
AgNO3(aq),Ag^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-492.0,1.648e-05,107.8682,1.0,1.0,3.41,1.29,2.11,0.09,3.0,169.8731,5.0,3.0,2.11,-0.07923,0.008339
Al2(SO4)3(aq),Al^+3,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,3.0,0.0,-4657.0,5.41e-06,26.9815386,1.0,1.0,4.75,0.675,1.84,0.744,2.0,342.15087719999997,17.0,3.0,1.84,0.822,21.12
Ba(ClO4)2(aq),Ba^+2,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,4.0,336.2282,11.0,3.0,2.68,0.3309,1.729
Ba(NO3)2(aq),Ba^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,3.0,261.3368,9.0,3.0,2.68,-0.06464,0.8598
BaBr2(aq),Ba^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,2.0,297.135,3.0,2.0,2.68,0.316,1.529
BaCl2(aq),Ba^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,2.0,208.233,3.0,2.0,2.68,0.2891,1.217
BaH6(CO)4(aq),Ba^+2,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,6.0,255.41504,15.0,4.0,2.68,0.2437,1.093
BaI2(aq),Ba^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,1.49,2.68,0.261,2.0,391.13594,3.0,2.0,2.68,0.4008,1.881
BeSO4(aq),Be^+2,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,2.0,0.0,-533.0,5.99e-06,9.012182,1.0,1.0,4.59,0.59,1.53,0.085,4.0,105.074782,6.0,3.0,1.53,0.3162,2.867
Ca(ClO4)2(aq),Ca^+2,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,2.0,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,1.14,2.31,0.284,4.0,238.9792,11.0,3.0,2.31,0.4638,1.716
