feature,gain_importance,split_importance,perm_importance_mean,perm_importance_std,gain_importance_norm,split_importance_norm,perm_importance_mean_norm
electrolyte_type_numeric,0.8809692135179215,330.0,1.88762590878816,0.1823558041343117,1.0,0.2108626198083067,1.0
cation_1_radius_vdw,0.022976255756571157,348.0,0.020968871848734062,0.006583235069611189,0.026080656853854692,0.22236421725239616,0.011108595061717448
molecule_radius_vdw,0.014889784271685148,323.0,0.00997584348637388,0.0030069664342909077,0.01690159433861107,0.2063897763578275,0.005284862556680147
anion_1_radius_hydrated,0.013333357182839213,314.0,0.010590864027858683,0.0016494103062348027,0.015134873021948086,0.20063897763578276,0.00561067951999977
molecule_n_atoms,0.013160871238076806,273.0,0.0053969830765914105,0.0006194267913514847,0.014939081906758455,0.1744408945686901,0.0028591380587990704
molecule_molecular_weight,0.012840315784904362,1565.0,0.010483041266814097,0.0014901680283439397,0.014575215101592369,1.0,0.005553558688725629
anion_1_molecular_weight,0.009577964109129831,353.0,0.010935095660393124,0.0018003277197560683,0.010872075848011444,0.22555910543130991,0.005793041730081658
cation_1_molecular_weight,0.009090679168389688,492.0,0.0031669352210995983,0.00043777044392009424,0.010318952159620228,0.31437699680511183,0.0016777345587149438
anion_1_n_atoms,0.0047756052999196365,168.0,0.004458245249972559,0.0005065119414410995,0.005420853789940626,0.1073482428115016,0.0023618266888669245
cation_type_numeric,0.004467827240763695,55.0,0.013262984420187118,0.0019409254425005764,0.005071490776530759,0.03514376996805112,0.007026278013264738
r_M_angstrom,0.004401214551256547,400.0,0.006931601375802976,0.000711891358651956,0.004995877816980052,0.25559105431309903,0.003672126634589905
r_X_angstrom,0.003966279739484253,321.0,0.002284248860631366,0.00028443903703637835,0.00450217746389337,0.20511182108626197,0.0012101173489920123
cation_1_radius_hydrated,0.003414808134596477,348.0,0.003997775864415853,0.0005281474994079448,0.0038761946299579854,0.22236421725239616,0.0021178856709920834
anion_1_radius_vdw,0.0015819089079295088,255.0,0.001146667912750976,0.0002858603255913991,0.0017956460721397596,0.16293929712460065,0.0006074656569463635
anion_type_numeric,0.0005539150965322363,52.0,0.0003119519494345746,0.00010043929968809046,0.0006287564741568214,0.033226837060702875,0.0001652615319498582
