cation,cat_count,anion,an_count,gamma_cation,gamma_anion,activity_coefficient,osmotic_coeff,water_activity
Ac[+3],1,Ag(CN)2[-1],3,0.213982445991651,0.8425536647839618,0.5981260477013075,1.0,0.9995828166266301
Ac[+3],1,AsO4[-3],1,0.14015512961778515,0.14015512961778515,0.14015512961778515,1.0,0.9997909958969002
Ac[+3],1,Au(CN)2[-1],3,0.2314948346601641,0.8499501959256195,0.6140170559937935,1.0,0.9997036713830699
Ac[+3],1,B(OH)4[-1],3,0.17562582831555285,0.8242621853217073,0.5600104465691028,1.0,0.9992357086998896
Ac[+3],1,BF4[-1],3,0.1815440476672865,0.8273031315409697,0.566231472358848,1.0,0.9992985115121138
Ac[+3],1,BO2[-1],3,0.13468158398098162,0.8003067288434789,0.5125891452065375,1.0,0.9986599678129626
Ac[+3],1,BrO3[-1],3,0.20322218134028217,0.8377373930916996,0.5879274029761966,1.0,0.9994983297345099
Ac[+3],1,Br[-1],3,0.1764613960191363,0.824696995377407,0.5608971546426318,1.0,0.9992448199855786
Ac[+3],1,C2N3[-1],3,0.16426436629125704,0.8181598275429518,0.547664328025679,1.0,0.9991030773241342
Ac[+3],1,CH3COO[-1],3,0.15681569813307708,0.8139520799990774,0.5392578948047252,1.0,0.9990062741490896
Ac[+3],1,CH3COO[-1],3,0.15681569813307708,0.8139520799990774,0.5392578948047252,1.0,0.9990062741490896
Ac[+3],1,CNO[-1],3,0.13337489608348926,0.7994402504349722,0.5109260326267475,1.0,0.9986362051978075
Ac[+3],1,CNO[-1],3,0.13337489608348926,0.7994402504349722,0.5109260326267475,1.0,0.9986362051978075
Ac[+3],1,CN[-1],3,0.10023313755181147,0.774464041764578,0.4645193129597043,1.0,0.9978479791375577
Ac[+3],2,CO3[-2],3,0.07587141512218637,0.3178754374552085,0.1792195804364811,1.0,0.9989417620996613
Ac[+3],1,SCN[-1],3,0.15570911897658607,0.8133118805956581,0.537986464486956,1.0,0.9989911498539741
Ac[+3],1,CSeN[-1],3,0.19263089683552806,0.8327700643719783,0.5775310197019784,1.0,0.9994061536848989
Ac[+3],1,ClO2[-1],3,0.16564839645631624,0.8189229198539777,0.5491981665299581,1.0,0.9991201574600518
Ac[+3],1,ClO3[-1],3,0.179144565700626,0.8260809868147319,0.5637257583334206,1.0,0.9992735279981917
Ac[+3],1,ClO4[-1],3,0.18956221217551197,0.8312854832373249,0.5744478249740101,1.0,0.9993775774885961
Ac[+3],1,Cl[-1],3,0.12149575869716221,0.7911968847360968,0.4952833241093506,1.0,0.9983987656867721
Ac[+3],1,Co(CN)6[-3],1,0.16958835164239808,0.16958835164239808,0.16958835164239808,1.0,0.9998368831801002
Ac[+3],1,Co(H3N)6[-3],1,0.1503853339087343,0.1503853339087343,0.1503853339087343,1.0,0.999808855095002
Ac[+3],2,CrO4[-2],3,0.08610930040847767,0.3362706132721137,0.194999444371307,1.0,0.9993757236976716
Ac[+3],1,F[-1],3,0.0799584193703646,0.7552591965790364,0.430812272776502,1.0,0.99708440251105
Ac[+3],1,Fe(CN)6[-3],1,0.1686565655128882,0.1686565655128882,0.1686565655128882,1.0,0.999835662907322
Ac[+3],1,H2SNO3[-1],3,0.1875730327003629,0.8303116960343683,0.572431424139012,1.0,0.9993585707096884
Ac[+3],1,H5C6O7[-3],1,0.1611858857965285,0.1611858857965285,0.1611858857965285,1.0,0.9998253957249862
Ac[+3],1,HCO2[-1],3,0.13819009316749448,0.8025968195143384,0.5170020953109244,1.0,0.9987217166335477
Ac[+3],1,HCO3[-1],3,0.15902000900066285,0.8152154827655121,0.5417728756580229,1.0,0.9990358116245909
Ac[+3],1,HF2[-1],3,0.12817085052083896,0.7959127722768992,0.504192547525853,1.0,0.9985371548347811
Ac[+3],1,HO2[-1],3,0.11651670769861835,0.787526825507237,0.4884229565930101,1.0,0.9982861579196352
Ac[+3],1,HOsO5[-1],3,0.23431642740284372,0.8510950838010153,0.6165016534336892,1.0,0.9997214531299141
Ac[+3],1,HSO3[-1],3,0.17736148288019865,0.8251633369222521,0.5618492046128829,1.0,0.9992545429447233
Ac[+3],1,HSO4[-1],3,0.1881652102816706,0.8306025477412877,0.5730331896644961,1.0,0.9993642696126845
Ac[+3],1,HS[-1],3,0.11665588522714478,0.7876312911101011,0.4886173506080117,1.0,0.9982894242216969
Ac[+3],1,HSeO3[-1],3,0.20324771987508577,0.8377490898631745,0.5879520298409536,1.0,0.9994985406585375
Ac[+3],1,IO3[-1],3,0.21793454072505827,0.8442686716639591,0.6017859202857083,1.0,0.9996117794617264
Ac[+3],1,IO4[-1],3,0.22159029220555745,0.8458306422621545,0.6051321726620691,1.0,0.9996376575901635
Ac[+3],1,I[-1],3,0.20282116730819055,0.8375535551957748,0.5875404334285124,1.0,0.9994950109193054
Ac[+3],1,IrO4[-1],3,0.23245615563293162,0.8503416473584163,0.614865818332685,1.0,0.9997097784366492
Ac[+3],1,KSO4[-1],3,0.20600361820760157,0.8390036922049463,0.5905975160961069,1.0,0.999521000491675
Ac[+3],1,MnO4[-1],3,0.1994396416470493,0.8359903727270567,0.5842568708447986,1.0,0.9994665062186644
Ac[+3],2,MoO4[-2],3,0.10060134663024077,0.36034026815202913,0.21630631368944017,1.0,0.9995035996998617
Ac[+3],1,NO2[-1],3,0.13970170060816076,0.8035675865428377,0.5188803579863035,1.0,0.9987474357005806
Ac[+3],1,NO3[-1],3,0.1600919996775104,0.8158242783767506,0.5429875556926247,1.0,0.9990498992599575
Ac[+3],1,NaCO3[-1],3,0.17881081755728664,0.8259098453644486,0.5633754651077236,1.0,0.9992700020668196
Ac[+3],1,NaSO4[-1],3,0.19949159129729593,0.8360145651650973,0.5843075951389378,1.0,0.9994669512699734
Ac[+3],1,OH[-1],3,0.09209015961099119,0.767207042303681,0.4515831637740979,1.0,0.9967534153703094
Ac[+3],1,H2PO4[-1],3,0.18811544639428346,0.8305781372358885,0.572982668682881,1.0,0.9993637920369872
Ac[+3],1,H2PO4[-1],3,0.18811544639428346,0.8305781372358885,0.572982668682881,1.0,0.9993637920369872
Ac[+3],1,P(OH)2[-1],3,0.1632067484215034,0.8175728424234538,0.5464864155289754,1.0,0.9990898407270875
Ac[+3],4,P2O7[-4],3,0.05504450362746264,0.005771241684305166,0.02093880760082573,1.0,0.9993722313779926
Ac[+3],5,P3O10[-5],3,0.05046875838222314,0.00024962326358989506,0.0068924088932633765,1.0,0.999389865070415
Ac[+3],1,PF6[-1],3,0.20941733150038538,0.8405372367177483,0.5938419501698816,1.0,0.9995480162731367
Ac[+3],2,HPO4[-2],3,0.09604804780588211,0.352998358140603,0.20972926174352,1.0,0.9992786932049327
Ac[+3],2,PO3F[-2],3,0.09695790536942323,0.3544806589036129,0.21105168139953306,1.0,0.9992901207573972
Ac[+3],1,PO3[-1],3,0.06030086507122437,0.06030086507122437,0.06030086507122437,1.0,0.9992368493163143
Ac[+3],1,PO4[-3],1,0.11362260744013106,0.11362260744013106,0.11362260744013106,1.0,0.9997310145825573
Ac[+3],1,ReO4[-1],3,0.23165847600885758,0.8500169328686852,0.6141617027240212,1.0,0.999704714558348
Ac[+3],1,ReO4[-1],3,0.23165847600885758,0.8500169328686852,0.6141617027240212,1.0,0.999704714558348
Ac[+3],1,Re[-1],3,0.22057049030830414,0.8453972352083287,0.6042024326839429,1.0,0.9996305244654132
Ac[+3],2,S2O3[-2],3,0.0845526001679975,0.33355506607315455,0.19264214784574085,1.0,0.9993596812985851
Ac[+3],1,SO2[-1],3,0.088722639732485,0.3407687472255479,0.24341841595772315,1.0,0.9990778597856819
Ac[+3],2,S2O6[-2],3,0.10065143880300423,0.3604200008202089,0.21637811096719034,1.0,0.9995039842560826
Ac[+3],2,SO3[-2],3,0.08807343958925704,0.3396582778655089,0.19795355473785198,1.0,0.9991669263241278
Ac[+3],2,S2O8[-2],3,0.10848368083729303,0.37262592930643346,0.2274623953173403,1.0,0.999560159681498
Ac[+3],2,SO4[-2],3,0.09608647363327917,0.3530611172246944,0.20978519543733984,1.0,0.9992791807765179
Ac[+3],2,S[-2],3,0.053464412473077476,0.27207927775584306,0.14191986818445326,1.0,0.9981591575924644
Ac[+3],1,Sb(HO2)2[-1],3,0.2209153593944003,0.8455440005705375,0.6045171653824575,1.0,0.9996329440284253
Ac[+3],1,Sb(OH)6[-1],3,0.22772904699621163,0.8484027110696917,0.6106693780647561,1.0,0.9996792495034874
Ac[+3],1,SeO3[-1],3,0.2028428835618093,0.8375635189048474,0.5875614021828769,1.0,0.9994951909733059
Ac[+3],1,SeO4[-1],3,0.2087480348498339,0.8402383282807038,0.5932086364550617,1.0,0.999542788026024
Ac[+3],1,SeO4[-1],3,0.2087480348498339,0.8402383282807038,0.5932086364550617,1.0,0.999542788026024
Ac[+3],2,SeO4[-2],3,0.09561349513939041,0.3522876508233416,0.20909619476033275,1.0,0.999463504402681
Ac[+3],2,SeO4[-2],3,0.09561349513939041,0.3522876508233416,0.20909619476033275,1.0,0.999463504402681
Ac[+3],2,SiF6[-2],3,0.09533567449413943,0.35183233667896635,0.20869095622978817,1.0,0.9994611608280184
Ac[+3],1,TcO4[-1],3,0.21456916541287788,0.842810041586981,0.5986722169813233,1.0,0.9995871831685996
Ac[+3],2,WO4[-2],3,0.11871188773718246,0.38785026617712615,0.2415439370132982,1.0,0.9996233438011117
Ag[+1],1,Ag(CN)2[-1],1,0.9093340360388904,0.9093340360388904,0.9093340360388904,1.0,0.9997203988179304
Ag[+1],3,AsO4[-3],1,0.8123318639813482,0.1540286114053909,0.5360440338970018,1.0,0.999369676336721
Ag[+1],1,Au(CN)2[-1],1,0.9153371373376858,0.9153371373376858,0.9153371373376858,1.0,0.9997606915795955
Ag[+1],1,Au(CN)4[-1],1,0.9173253401535494,0.9173253401535494,0.9173253401535494,1.0,0.9997731916378576
Ag[+1],1,B(OH)4[-1],1,0.894653174329858,0.894653174329858,0.894653174329858,1.0,0.9996046375258474
Ag[+1],1,BF4[-1],1,0.8970843670462592,0.8970843670462592,0.8970843670462592,1.0,0.9996255863801623
Ag[+1],1,BO2[-1],1,0.8755104227960071,0.8755104227960071,0.8755104227960071,1.0,0.9994125083702726
Ag[+1],1,BrO3[-1],1,0.9054512538920472,0.9054512538920472,0.9054512538920472,1.0,0.999692227180219
Ag[+1],1,Br[-1],1,0.8950006732635165,0.8950006732635165,0.8950006732635165,1.0,0.999607676845677
Ag[+1],1,C2N3[-1],1,0.8897789986736747,0.8897789986736747,0.8897789986736747,1.0,0.9995603905006273
Ag[+1],1,CH3COO[-1],1,0.8864192957641244,0.8864192957641244,0.8864192957641244,1.0,0.9995280911435984
Ag[+1],1,CH3COO[-1],1,0.8864192957641244,0.8864192957641244,0.8864192957641244,1.0,0.9995280911435984
Ag[+1],1,CNO[-1],1,0.8748162988920821,0.8748162988920821,0.8748162988920821,1.0,0.9994045754307126
Ag[+1],1,CNO[-1],1,0.8748162988920821,0.8748162988920821,0.8748162988920821,1.0,0.9994045754307126
Ag[+1],1,CN[-1],1,0.854674403272307,0.854674403272307,0.854674403272307,1.0,0.9991412904496846
Ag[+1],2,CO3[-2],1,0.8180603831787905,0.44785914336024896,0.6692227905266295,1.0,0.999366164324045
Ag[+1],1,SCN[-1],1,0.8859080814708401,0.8859080814708401,0.8859080814708401,1.0,0.9995230443929516
Ag[+1],1,CSeN[-1],1,0.9014620797260883,0.9014620797260883,0.9014620797260883,1.0,0.9996614880183704
Ag[+1],1,ClO2[-1],1,0.8903883190753231,0.8903883190753231,0.8903883190753231,1.0,0.9995660890275171
Ag[+1],1,ClO3[-1],1,0.8961070195786689,0.8961070195786689,0.8961070195786689,1.0,0.9996172529509454
Ag[+1],1,ClO4[-1],1,0.9002721842176495,0.9002721842176495,0.9002721842176495,1.0,0.9996519575701206
Ag[+1],1,Cl[-1],1,0.8681997851020756,0.8681997851020756,0.8681997851020756,1.0,0.9993252945245253
Ag[+1],3,Co(CN)6[-3],1,0.831423187968011,0.18984501303536735,0.574733348861445,1.0,0.9994155249526799
